wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
kujawsko-pomorskie,grudziądzki,-,-,0,-,-,0.0,0,0,0,0,0,0,3,0,3,0,t0406,2023-01-26
kujawsko-pomorskie,inowrocławski,-,-,11,-,-,0.69,0,0,0,4,0,0,31,11,19,1,t0407,2023-01-26
kujawsko-pomorskie,lipnowski,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0408,2023-01-26
kujawsko-pomorskie,mogileński,-,-,0,-,-,0.0,0,0,0,0,0,0,5,0,5,0,t0409,2023-01-26
kujawsko-pomorskie,nakielski,-,-,3,-,-,0.35,0,0,0,1,0,0,10,3,7,0,t0410,2023-01-26
kujawsko-pomorskie,radziejowski,-,-,0,-,-,0.0,0,0,0,0,0,0,5,0,5,0,t0411,2023-01-26
kujawsko-pomorskie,rypiński,-,-,1,-,-,0.23,0,0,0,1,0,0,1,1,0,0,t0412,2023-01-26
kujawsko-pomorskie,sępoleński,-,-,1,-,-,0.24,0,0,0,0,0,0,5,1,4,0,t0413,2023-01-26
kujawsko-pomorskie,świecki,-,-,1,-,-,0.1,0,0,0,0,0,0,2,1,1,0,t0414,2023-01-26
kujawsko-pomorskie,toruński,-,-,4,-,-,0.37,0,0,0,3,0,0,9,4,5,0,t0415,2023-01-26
kujawsko-pomorskie,tucholski,-,-,1,-,-,0.21,0,0,0,0,0,0,1,1,0,0,t0416,2023-01-26
kujawsko-pomorskie,wąbrzeski,-,-,2,-,-,0.59,0,0,0,3,0,0,4,2,2,0,t0417,2023-01-26
kujawsko-pomorskie,włocławski,-,-,3,-,-,0.35,0,0,0,1,0,0,14,3,11,0,t0418,2023-01-26
kujawsko-pomorskie,żniński,-,-,1,-,-,0.14,0,0,0,1,0,0,5,1,4,0,t0419,2023-01-26
kujawsko-pomorskie,Bydgoszcz,-,-,15,-,-,0.43,0,0,0,17,0,0,56,15,40,1,t0461,2023-01-26
kujawsko-pomorskie,Grudziądz,-,-,1,-,-,0.11,0,0,0,1,0,0,34,1,31,2,t0462,2023-01-26
kujawsko-pomorskie,Toruń,-,-,12,-,-,0.6,0,0,0,10,0,0,17,12,5,0,t0463,2023-01-26
