Loading...,Voivodeships,Districts,Terytorial Code,14D Total Deaths / 10000,7D AVR Infections / 10000,(% ) Booster Dose,Date - Booster Dose,Population / 10000,t14,t13,t12,t11,t10,t9,t8,t7,t6,t5,t4,t3,t2,t1,t
2023-05-01,lubelskie,Bialski,0601,0.00,0.26,20.01,2023-04-29,11.00,0.37,0.52,0.50,0.59,0.56,0.53,0.52,0.52,0.49,0.46,0.27,0.23,0.26,0.26,0.26
2023-05-01,lubelskie,Biłgorajski,0602,0.00,0.07,21.40,2023-04-29,10.03,0.23,0.27,0.26,0.21,0.16,0.11,0.11,0.11,0.09,0.09,0.10,0.09,0.07,0.07,0.07
2023-05-01,lubelskie,Chełmski,0603,0.13,0.02,17.24,2023-04-29,7.75,0.19,0.22,0.17,0.13,0.11,0.13,0.11,0.09,0.06,0.06,0.06,0.04,0.02,0.00,0.02
2023-05-01,lubelskie,Hrubieszowski,0604,0.00,0.07,26.53,2023-04-29,6.20,0.21,0.34,0.37,0.34,0.27,0.21,0.21,0.21,0.07,0.05,0.05,0.05,0.07,0.07,0.07
2023-05-01,lubelskie,Janowski,0605,0.00,0.09,18.82,2023-04-29,4.51,0.09,0.16,0.16,0.16,0.16,0.19,0.19,0.19,0.13,0.16,0.16,0.13,0.09,0.09,0.09
2023-05-01,lubelskie,Krasnostawski,0606,0.00,0.07,27.31,2023-04-29,6.26,0.23,0.25,0.30,0.27,0.32,0.23,0.21,0.16,0.16,0.09,0.11,0.05,0.05,0.05,0.07
2023-05-01,lubelskie,Kraśnicki,0607,0.11,0.15,25.57,2023-04-29,9.45,0.44,0.50,0.36,0.36,0.38,0.29,0.29,0.29,0.32,0.32,0.24,0.18,0.15,0.15,0.15
2023-05-01,lubelskie,Lubartowski,0608,0.00,0.16,21.09,2023-04-29,8.79,0.18,0.27,0.24,0.18,0.16,0.16,0.16,0.16,0.10,0.18,0.16,0.16,0.16,0.16,0.16
2023-05-01,lubelskie,Lubelski,0609,0.06,0.06,19.41,2023-04-29,15.65,0.16,0.17,0.15,0.11,0.12,0.15,0.15,0.15,0.14,0.15,0.11,0.08,0.06,0.06,0.06
2023-05-01,lubelskie,Łęczyński,0610,0.00,0.15,21.98,2023-04-29,5.72,0.32,0.35,0.25,0.25,0.10,0.07,0.07,0.07,0.10,0.07,0.10,0.15,0.15,0.15,0.15
2023-05-01,lubelskie,Łukowski,0611,0.38,0.00,18.43,2023-04-29,10.62,0.15,0.15,0.11,0.09,0.12,0.11,0.15,0.15,0.15,0.15,0.13,0.07,0.04,0.00,0.00
2023-05-01,lubelskie,Opolski,0612,0.00,0.02,28.26,2023-04-29,5.87,0.22,0.27,0.15,0.19,0.19,0.19,0.17,0.17,0.12,0.12,0.07,0.05,0.02,0.02,0.02
