Date,Voivodeships,Districts,Terytorial Code,14D Total Deaths / 10000,7D AVR Infections / 10000,(% ) Booster Dose,Date - Booster Dose,Population / 10000,t14,t13,t12,t11,t10,t9,t8,t7,t6,t5,t4,t3,t2,t1,t
2024-03-01,kujawsko-pomorskie,Nakielski,0410,0.00,0.02,40.09,2024-02-24,8.61,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.08,0.08,0.08,0.08,0.08,0.07,0.03,0.02
2024-03-01,kujawsko-pomorskie,Radziejowski,0411,0.00,0.00,33.33,2024-02-24,4.00,0.07,0.18,0.18,0.18,0.11,0.11,0.14,0.14,0.04,0.04,0.04,0.04,0.04,0.00,0.00
2024-03-01,kujawsko-pomorskie,Rypiński,0412,0.00,0.07,33.69,2024-02-24,4.34,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.07,0.07,0.07,0.07,0.13,0.07,0.07,0.07
2024-03-01,kujawsko-pomorskie,Sępoleński,0413,0.00,0.03,38.14,2024-02-24,4.08,0.07,0.07,0.07,0.10,0.10,0.10,0.03,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.03
2024-03-01,kujawsko-pomorskie,Świecki,0414,0.00,0.01,36.11,2024-02-24,9.87,0.16,0.14,0.14,0.14,0.13,0.10,0.06,0.06,0.04,0.04,0.04,0.03,0.03,0.01,0.01
2024-03-01,kujawsko-pomorskie,Toruński,0415,0.00,0.01,20.64,2024-02-24,10.96,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01
2024-03-01,kujawsko-pomorskie,Tucholski,0416,0.00,0.06,33.38,2024-02-24,4.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06
2024-03-01,kujawsko-pomorskie,Wąbrzeski,0417,0.00,0.00,32.91,2024-02-24,3.40,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.00,0.00
2024-03-01,kujawsko-pomorskie,Włocławski,0418,0.00,0.08,26.25,2024-02-24,8.56,0.10,0.10,0.10,0.10,0.07,0.08,0.10,0.08,0.08,0.08,0.08,0.07,0.07,0.05,0.08
2024-03-01,kujawsko-pomorskie,Żniński,0419,0.00,0.02,24.96,2024-02-24,6.99,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02
2024-03-01,kujawsko-pomorskie,Bydgoszcz,0461,0.03,0.02,66.51,2024-02-24,34.41,0.03,0.03,0.03,0.03,0.04,0.04,0.07,0.07,0.08,0.08,0.08,0.06,0.06,0.02,0.02
2024-03-01,kujawsko-pomorskie,Grudziądz,0462,0.00,0.09,52.65,2024-02-24,9.36,0.18,0.20,0.20,0.20,0.17,0.12,0.09,0.08,0.06,0.06,0.06,0.05,0.08,0.09,0.09
2024-03-01,kujawsko-pomorskie,Toruń,0463,0.00,0.04,64.33,2024-02-24,19.86,0.06,0.05,0.05,0.05,0.04,0.03,0.02,0.04,0.04,0.04,0.04,0.03,0.04,0.05,0.04
2024-03-01,kujawsko-pomorskie,Włocławek,0464,0.00,0.05,48.23,2024-02-24,10.86,0.03,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.05
2024-03-01,lubelskie,Bialski,0601,0.00,0.08,20.64,2024-02-24,11.00,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.06,0.06,0.08,0.08
2024-03-01,lubelskie,Biłgorajski,0602,0.00,0.04,21.48,2024-02-24,10.03,0.10,0.09,0.09,0.09,0.10,0.06,0.06,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04
2024-03-01,lubelskie,Chełmski,0603,0.00,0.06,17.45,2024-02-24,7.75,0.11,0.09,0.09,0.07,0.07,0.04,0.02,0.00,0.00,0.00,0.00,0.04,0.04,0.06,0.06
2024-03-01,lubelskie,Hrubieszowski,0604,0.00,0.07,26.60,2024-02-24,6.20,0.09,0.11,0.11,0.11,0.16,0.14,0.27,0.27,0.23,0.23,0.23,0.16,0.16,0.02,0.07
2024-03-01,lubelskie,Janowski,0605,0.00,0.09,19.42,2024-02-24,4.51,0.16,0.13,0.13,0.13,0.06,0.06,0.03,0.06,0.06,0.06,0.06,0.13,0.13,0.16,0.09
2024-03-01,lubelskie,Krasnostawski,0606,0.00,0.07,28.03,2024-02-24,6.26,0.14,0.14,0.14,0.09,0.11,0.07,0.07,0.07,0.07,0.07,0.07,0.05,0.07,0.09,0.07
2024-03-01,lubelskie,Kraśnicki,0607,0.00,0.03,26.12,2024-02-24,9.45,0.06,0.09,0.09,0.09,0.08,0.09,0.06,0.06,0.05,0.05,0.05,0.05,0.03,0.03,0.03
2024-03-01,lubelskie,Lubartowski,0608,0.00,0.00,21.51,2024-02-24,8.79,0.16,0.18,0.18,0.18,0.11,0.11,0.05,0.05,0.03,0.03,0.03,0.00,0.00,0.00,0.00
2024-03-01,lubelskie,Lubelski,0609,0.00,0.06,19.76,2024-02-24,15.65,0.07,0.11,0.11,0.10,0.09,0.12,0.10,0.11,0.07,0.07,0.08,0.09,0.06,0.06,0.06
2024-03-01,lubelskie,Łęczyński,0610,0.00,0.05,22.33,2024-02-24,5.72,0.10,0.10,0.10,0.10,0.17,0.20,0.22,0.17,0.22,0.22,0.22,0.15,0.10,0.05,0.05
2024-03-01,lubelskie,Łukowski,0611,0.00,0.04,18.87,2024-02-24,10.62,0.09,0.07,0.05,0.05,0.03,0.00,0.01,0.01,0.03,0.03,0.03,0.03,0.05,0.04,0.04
2024-03-01,lubelskie,Opolski,0612,0.00,0.19,28.59,2024-02-24,5.87,0.17,0.15,0.15,0.12,0.07,0.15,0.19,0.19,0.24,0.24,0.24,0.24,0.22,0.17,0.19
2024-03-01,lubelskie,Parczewski,0613,0.00,0.00,27.07,2024-02-24,3.44,0.12,0.08,0.08,0.08,0.12,0.04,0.04,0.04,0.04,0.04,0.04,0.00,0.00,0.00,0.00
2024-03-01,lubelskie,Puławski,0614,0.18,0.10,35.59,2024-02-24,11.24,0.12,0.13,0.13,0.12,0.10,0.10,0.10,0.09,0.09,0.09,0.09,0.06,0.10,0.09,0.10
2024-03-01,lubelskie,Radzyński,0615,0.00,0.02,19.20,2024-02-24,5.83,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
2024-03-01,lubelskie,Rycki,0616,0.00,0.03,35.14,2024-02-24,5.55,0.23,0.28,0.28,0.28,0.26,0.26,0.18,0.15,0.10,0.10,0.10,0.03,0.00,0.03,0.03
2024-03-01,lubelskie,Świdnicki,0617,0.00,0.12,33.22,2024-02-24,7.14,0.14,0.12,0.12,0.10,0.14,0.14,0.16,0.12,0.10,0.10,0.10,0.08,0.12,0.08,0.12
2024-03-01,lubelskie,Tomaszowski,0618,0.00,0.09,24.04,2024-02-24,8.19,0.03,0.05,0.05,0.05,0.02,0.05,0.05,0.05,0.03,0.03,0.03,0.09,0.05,0.07,0.09
2024-03-01,lubelskie,Włodawski,0619,0.00,0.00,33.07,2024-02-24,3.80,0.22,0.15,0.15,0.15,0.04,0.04,0.04,0.07,0.07,0.07,0.07,0.04,0.04,0.04,0.00
2024-03-01,lubelskie,Zamojski,0620,0.00,0.03,17.08,2024-02-24,10.54,0.13,0.11,0.11,0.11,0.13,0.12,0.16,0.19,0.15,0.15,0.15,0.11,0.11,0.05,0.03
2024-03-01,lubelskie,Biała Podlaska,0661,0.00,0.22,43.50,2024-02-24,5.69,0.07,0.02,0.02,0.02,0.00,0.00,0.07,0.07,0.07,0.07,0.07,0.15,0.22,0.22,0.22
2024-03-01,lubelskie,Chełm,0662,0.00,0.05,44.65,2024-02-24,6.11,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05
2024-03-01,lubelskie,Lublin,0663,0.00,0.07,53.83,2024-02-24,33.86,0.15,0.14,0.12,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.07,0.08,0.07
2024-03-01,lubelskie,Zamość,0664,0.00,0.09,53.26,2024-02-24,6.28,0.16,0.16,0.16,0.16,0.11,0.14,0.14,0.14,0.14,0.14,0.14,0.11,0.11,0.11,0.09
