#REF!,,,,,,,,,t14,t13,t12,t11,t10,t9,t8,t7,t6,t5,t4,t3,t2,t1,t
,,,,,,,,,0.51,0.51,0.51,0.49,0.54,0.43,0.33,0.30,0.30,0.30,0.28,0.26,0.25,0.24,
,,,,,,,,,1.61,1.59,1.57,1.33,1.15,0.97,0.88,0.93,0.93,0.93,1.02,0.91,0.91,0.70,
,,,,,,,,,0.22,0.22,0.22,0.21,0.18,0.17,0.14,0.14,0.14,0.13,0.15,0.14,0.12,0.12,
,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,
,,,,,,,,,0.38,0.38,0.38,0.22,0.19,0.13,0.13,0.09,0.09,0.09,0.09,0.16,0.09,0.09,
,,,,,,,,,0.12,0.12,0.12,0.11,0.09,0.08,0.09,0.08,0.08,0.08,0.14,0.17,0.21,0.17,
,,,,,,,,,0.09,0.09,0.06,0.06,0.09,0.06,0.04,0.02,0.02,0.02,0.02,0.00,0.00,0.02,
,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,0.13,0.13,0.13,0.17,0.10,0.07,0.07,0.07,0.07,0.07,0.03,0.03,0.03,0.03,
,,,,,,,,,0.60,0.60,0.60,0.60,0.53,0.46,0.44,0.37,0.37,0.37,0.31,0.28,0.26,0.26,
,,,,,,,,,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.02,0.02,0.02,
,,,,,,,,,0.24,0.24,0.24,0.17,0.20,0.16,0.17,0.15,0.15,0.15,0.20,0.17,0.16,0.18,
,,,,,,,,,0.31,0.31,0.31,0.52,0.65,0.57,0.47,0.52,0.52,0.52,0.42,0.34,0.36,0.41,
,,,,,,,,,0.27,0.27,0.27,0.21,0.19,0.21,0.15,0.13,0.13,0.13,0.09,0.15,0.13,0.23,
,,,,,,,,,0.49,0.49,0.49,0.40,0.39,0.36,0.30,0.31,0.32,0.32,0.47,0.50,0.50,0.56,
,,,,,,,,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.00,0.00,0.00,0.13,0.13,0.13,0.13,
,,,,,,,,,0.37,0.37,0.39,0.31,0.26,0.26,0.26,0.29,0.29,0.26,0.22,0.20,0.18,0.13,
,,,,,,,,,0.79,0.79,0.81,0.78,0.74,0.64,0.59,0.52,0.55,0.48,0.39,0.39,0.36,0.30,
,,,,,,,,,0.51,0.51,0.51,0.42,0.37,0.25,0.18,0.19,0.19,0.19,0.17,0.17,0.21,0.26,
,,,,,,,,,0.59,0.59,0.59,0.57,0.49,0.42,0.34,0.31,0.31,0.31,0.40,0.42,0.44,0.47,
,,,,,,,,,0.27,0.25,0.27,0.39,0.34,0.28,0.28,0.28,0.28,0.25,0.09,0.09,0.11,0.14,
,,,,,,,,,0.69,0.69,0.69,0.43,0.46,0.51,0.50,0.51,0.51,0.51,0.52,0.44,0.33,0.33,
,,,,,,,,,0.91,0.93,0.93,0.91,0.72,0.78,0.83,0.83,0.81,0.81,0.62,0.56,0.45,0.35,
,,,,,,,,,0.55,0.49,0.47,0.44,0.44,0.42,0.36,0.26,0.26,0.26,0.26,0.18,0.21,0.26,
,,,,,,,,,0.81,0.81,0.83,0.76,0.74,0.39,0.49,0.40,0.40,0.39,0.42,0.39,0.35,0.21,
,,,,,,,,,0.13,0.13,0.13,0.07,0.07,0.05,0.03,0.02,0.02,0.02,0.02,0.06,0.09,0.09,
