wojewodztwo,powiat_miasto,liczba_szczepien_ogolnie,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt,dawka_1_ogolem,dawka_1_dziennie,dawka_3_ogolem,dawka_3_dziennie,dawka_przypominajaca_ogolem,dawka_przypominajaca_dziennie
mazowieckie,grodziski,137094,102,50091,18,t1405,58024,22,682,0,28297,62
mazowieckie,grójecki,147542,66,55902,21,t1406,65002,10,640,0,25998,35
mazowieckie,kozienicki,64633,29,23874,8,t1407,26726,0,194,0,13839,21
mazowieckie,legionowski,126830,448,39891,86,t1408,50669,83,603,0,35667,279
mazowieckie,lipski,36115,27,14029,5,t1409,15635,4,169,0,6282,18
mazowieckie,łosicki,26823,0,10246,0,t1410,11171,0,422,0,4984,0
mazowieckie,makowski,58360,0,21756,0,t1411,26227,0,166,0,10211,0
mazowieckie,miński,187850,193,67015,92,t1412,82095,8,612,0,38128,93
mazowieckie,mławski,87389,41,33256,25,t1413,37250,5,674,0,16209,11
mazowieckie,nowodworski,154620,75,58577,10,t1414,71011,15,636,0,24396,50
mazowieckie,ostrołęcki,69415,0,26994,0,t1415,30223,0,212,0,11986,0
mazowieckie,ostrowski,72293,4,28746,0,t1416,29680,0,430,0,13437,4
mazowieckie,otwocki,142520,84,51441,45,t1417,55616,13,1678,0,33785,26
mazowieckie,piaseczyński,363484,452,130410,148,t1418,154260,39,1298,1,77516,264
mazowieckie,płocki,115165,19,45434,9,t1419,50201,1,455,1,19075,8
mazowieckie,płoński,108923,22,41617,5,t1420,48079,2,251,0,18976,15
mazowieckie,pruszkowski,208634,213,73785,76,t1421,83865,17,1013,0,49971,120
mazowieckie,przasnyski,69159,76,27240,45,t1422,30029,11,240,0,11650,20
mazowieckie,przysuski,42096,9,15703,2,t1423,17599,0,363,0,8431,7
mazowieckie,pułtuski,65471,0,25263,0,t1424,28052,0,581,0,11575,0
mazowieckie,radomski,94013,210,35181,16,t1425,38959,14,702,0,19171,180
mazowieckie,siedlecki,43026,103,16910,37,t1426,18167,18,269,0,7680,48
mazowieckie,sierpecki,62010,20,24191,5,t1427,26403,0,281,0,11135,15
mazowieckie,sochaczewski,119140,57,45118,34,t1428,50693,5,206,0,23123,18
mazowieckie,sokołowski,61896,0,22971,0,t1429,26183,0,150,0,12592,0
mazowieckie,szydłowiecki,31298,10,10681,2,t1430,14714,6,42,0,5861,2
mazowieckie,warszawski zachodni,179189,208,63067,78,t1432,70275,23,618,0,45229,107
mazowieckie,węgrowski,66225,30,25490,8,t1433,27848,5,327,0,12560,17
mazowieckie,wołomiński,328807,441,115127,189,t1434,141438,63,1079,0,71163,189
mazowieckie,wyszkowski,91243,50,34766,15,t1435,38378,4,436,5,17663,26
mazowieckie,zwoleński,38130,16,15345,5,t1436,16761,3,202,0,5822,8
mazowieckie,żuromiński,41696,0,16379,0,t1437,16858,0,408,0,8051,0
mazowieckie,żyrardowski,87059,0,31189,0,t1438,36130,0,418,0,19322,0
mazowieckie,Ostrołęka,98370,26,37910,7,t1461,42564,6,317,0,17579,13
mazowieckie,Płock,190597,291,67487,87,t1462,79637,29,430,0,43043,175
mazowieckie,Radom,325034,161,120446,82,t1463,141282,19,1746,0,61560,60
mazowieckie,Siedlce,157448,96,61895,25,t1464,71433,18,314,0,23806,53
mazowieckie,Warszawa,3802924,3357,1357198,1114,t1465,1568739,420,18397,13,858590,1810
opolskie,brzeski,98779,47,37274,6,t1601,43059,12,987,0,17459,29
opolskie,głubczycki,57863,38,21383,11,t1602,25078,1,93,0,11309,26
opolskie,kędzierzyńsko-kozielski,112143,69,42068,28,t1603,47719,3,404,0,21952,38
opolskie,kluczborski,81835,4,29875,1,t1604,33896,1,395,0,17669,2
opolskie,krapkowicki,138624,176,50560,59,t1605,60357,13,435,1,27272,103
opolskie,namysłowski,43363,75,15592,12,t1606,17691,2,61,1,10019,60
opolskie,nyski,130379,23,49542,7,t1607,54646,1,697,0,25494,15
opolskie,oleski,68916,29,26050,12,t1608,29194,1,140,0,13532,16
opolskie,opolski,98881,0,35436,0,t1609,41223,0,641,0,21581,0
opolskie,prudnicki,57897,90,21388,12,t1610,24965,9,130,1,11414,68
opolskie,strzelecki,85631,30,30678,8,t1611,36253,5,308,0,18392,17
opolskie,Opole,265191,185,98446,80,t1661,113042,9,607,0,53096,96
podkarpackie,bieszczadzki,15356,0,5708,0,t1801,6218,0,23,0,3407,0
podkarpackie,brzozowski,60262,15,23758,1,t1802,27005,1,252,0,9247,13
podkarpackie,dębicki,88071,11,31942,2,t1803,41650,1,138,0,14341,8
podkarpackie,jarosławski,92473,33,32104,14,t1804,39378,1,136,0,20855,18
podkarpackie,jasielski,90064,122,31215,35,t1805,40036,12,223,0,18590,75
podkarpackie,kolbuszowski,30638,16,11813,2,t1806,13751,0,157,0,4917,14
podkarpackie,krośnieński,68350,0,26454,0,t1807,28257,0,269,0,13370,0
podkarpackie,leżajski,59198,26,21648,5,t1808,26316,2,137,0,11097,19
podkarpackie,lubaczowski,50515,2,18322,0,t1809,21545,1,34,1,10614,0
podkarpackie,łańcucki,59900,18,22846,13,t1810,24695,5,85,0,12274,0
podkarpackie,mielecki,117019,13,46306,1,t1811,51170,3,502,2,19041,7
podkarpackie,niżański,46274,0,18092,0,t1812,19526,0,986,0,7670,0
