wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt
małopolskie,Tarnów,-,-,3,-,-,0.28,1,0,1,23,7,174,79,3,76,0,t1263
mazowieckie,białobrzeski,-,-,4,-,-,1.2,2,0,2,19,2,207,24,4,20,0,t1401
mazowieckie,ciechanowski,-,-,6,-,-,0.67,0,0,0,41,6,319,100,7,93,0,t1402
mazowieckie,garwoliński,-,-,11,-,-,1.01,0,0,0,39,9,259,97,16,79,2,t1403
mazowieckie,gostyniński,-,-,1,-,-,0.22,0,0,0,15,5,134,30,1,29,0,t1404
mazowieckie,grodziski,-,-,31,-,-,3.21,1,0,1,94,17,738,185,35,146,4,t1405
mazowieckie,grójecki,-,-,23,-,-,2.34,0,0,0,78,29,1124,103,31,64,8,t1406
mazowieckie,kozienicki,-,-,5,-,-,0.84,0,0,0,47,10,342,78,17,61,0,t1407
mazowieckie,legionowski,-,-,14,-,-,1.17,0,0,0,96,67,721,89,16,68,5,t1408
mazowieckie,lipski,-,-,0,-,-,0.0,0,0,0,8,6,107,29,0,28,1,t1409
mazowieckie,łosicki,-,-,2,-,-,0.65,1,1,0,14,4,69,19,3,15,1,t1410
mazowieckie,makowski,-,-,4,-,-,0.9,0,0,0,31,17,183,41,6,35,0,t1411
mazowieckie,miński,-,-,23,-,-,1.48,0,0,0,60,27,582,225,29,187,9,t1412
mazowieckie,mławski,-,-,4,-,-,0.55,0,0,0,51,10,390,67,5,61,1,t1413
mazowieckie,nowodworski,-,-,10,-,-,1.26,1,1,0,65,33,526,71,10,57,4,t1414
mazowieckie,ostrołęcki,-,-,3,-,-,0.34,0,0,0,16,3,226,51,3,47,1,t1415
