Date,Voivodeships,Districts,Terytorial Code,14D Total Deaths / 10000,7D AVR Infections / 10000,(% ) Booster Dose,Date - Booster Dose,Population / 10000
,mazowieckie,Siedlce,1464,,,,,7.7813
,mazowieckie,Warszawa,1465,,,,,179.4166
,opolskie,Brzeski,1601,,,,,8.9282
,opolskie,Głubczycki,1602,,,,,4.5015
,opolskie,Kędzierzyńsko-Kozielski,1603,,,,,9.3001
,opolskie,Kluczborski,1604,,,,,6.5026
,opolskie,Krapkowicki,1605,,,,,6.3196
,opolskie,Namysłowski,1606,,,,,4.2543
,opolskie,Nyski,1607,,,,,13.4864
,opolskie,Oleski,1608,,,,,6.3788
,opolskie,Opolski,1609,,,,,12.3532
,opolskie,Prudnicki,1610,,,,,5.4765
,opolskie,Strzelecki,1611,,,,,7.3923
,opolskie,Opole,1661,,,,,12.7839
,podkarpackie,Bieszczadzki,1801,,,,,2.1489
,podkarpackie,Brzozowski,1802,,,,,6.5373
,podkarpackie,Dębicki,1803,,,,,13.4991
,podkarpackie,Jarosławski,1804,,,,,11.9727
,podkarpackie,Jasielski,1805,,,,,11.2863
,podkarpackie,Kolbuszowski,1806,,,,,6.2039
,podkarpackie,Krośnieński,1807,,,,,11.1905
,podkarpackie,Leżajski,1808,,,,,6.8996
,podkarpackie,Lubaczowski,1809,,,,,5.4711
,podkarpackie,Łańcucki,1810,,,,,8.1226
,podkarpackie,Mielecki,1811,,,,,13.6441
,podkarpackie,Niżański,1812,,,,,6.6221
,podkarpackie,Przemyski,1813,,,,,7.3919
,podkarpackie,Przeworski,1814,,,,,7.7979
,podkarpackie,Ropczycko-Sędziszowski,1815,,,,,7.4573
,podkarpackie,Rzeszowski,1816,,,,,17.055
,podkarpackie,Sanocki,1817,,,,,9.3818
,podkarpackie,Stalowowolski,1818,,,,,10.5431
,podkarpackie,Strzyżowski,1819,,,,,6.1161
,podkarpackie,Tarnobrzeski,1820,,,,,5.272
,podkarpackie,Leski,1821,,,,,2.6375
,podkarpackie,Krosno,1861,,,,,4.5944
,podkarpackie,Przemyśl,1862,,,,,5.9779
,podkarpackie,Rzeszów,1863,,,,,19.6638
,podkarpackie,Tarnobrzeg,1864,,,,,4.636
,podlaskie,Augustowski,2001,,,,,5.7651
,podlaskie,Białostocki,2002,,,,,15.0845
,podlaskie,Bielski,2003,,,,,5.3695
,podlaskie,Grajewski,2004,,,,,4.6792
,podlaskie,Hajnowski,2005,,,,,4.1991
,podlaskie,Kolneński,2006,,,,,3.7887
,podlaskie,Łomżyński,2007,,,,,5.0819
,podlaskie,Moniecki,2008,,,,,4.007
,podlaskie,Sejneński,2009,,,,,1.9689
,podlaskie,Siemiatycki,2010,,,,,4.3618
,podlaskie,Sokólski,2011,,,,,6.5883
,podlaskie,Suwalski,2012,,,,,3.5577
,podlaskie,Wysokomazowiecki,2013,,,,,5.6408
,podlaskie,Zambrowski,2014,,,,,4.3191
,podlaskie,Białystok,2061,,,,,29.6958
,podlaskie,Łomża,2062,,,,,6.2573
,podlaskie,Suwałki,2063,,,,,6.9639
,pomorskie,Bytowski,2201,,,,,7.9114
,pomorskie,Chojnicki,2202,,,,,9.7661
,pomorskie,Człuchowski,2203,,,,,5.5835
,pomorskie,Gdański,2204,,,,,12.0327
,pomorskie,Kartuski,2205,,,,,14.1892
,pomorskie,Kościerski,2206,,,,,7.2923
,pomorskie,Kwidzyński,2207,,,,,8.2963
,pomorskie,Lęborski,2208,,,,,6.6083
,pomorskie,Malborski,2209,,,,,6.3204
,pomorskie,Nowodworski,2210,,,,,3.5438
,pomorskie,Pucki,2211,,,,,8.7568
,pomorskie,Słupski,2212,,,,,9.8832
,pomorskie,Starogardzki,2213,,,,,12.821
,pomorskie,Tczewski,2214,,,,,11.522
,pomorskie,Wejherowski,2215,,,,,21.9457
,pomorskie,Sztumski,2216,,,,,4.1104
,pomorskie,Gdańsk,2261,,,,,47.0805
,pomorskie,Gdynia,2262,,,,,24.4969
,pomorskie,Słupsk,2263,,,,,8.978
,pomorskie,Sopot,2264,,,,,3.5286
,śląskie,Będziński,2401,,,,,14.7259
,śląskie,Bielski,2402,,,,,16.6348
,śląskie,Cieszyński,2403,,,,,17.7536
,śląskie,Częstochowski,2404,,,,,13.4106
,śląskie,Gliwicki,2405,,,,,11.5416
,śląskie,Kłobucki,2406,,,,,8.433
,śląskie,Lubliniecki,2407,,,,,7.6109
,śląskie,Mikołowski,2408,,,,,9.9202
,śląskie,Myszkowski,2409,,,,,7.0486
,śląskie,Pszczyński,2410,,,,,11.1814
