wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
dolnośląskie,świdnicki,-,-,3,-,-,0.19,0,0,0,1,0,0,8,3,5,0,t0219,2024-10-21
dolnośląskie,trzebnicki,-,-,1,-,-,0.12,0,0,0,0,0,0,1,1,0,0,t0220,2024-10-21
dolnośląskie,wałbrzyski,-,-,0,-,-,0.0,0,0,0,0,0,0,1,0,1,0,t0221,2024-10-21
dolnośląskie,wołowski,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0222,2024-10-21
dolnośląskie,wrocławski,-,-,0,-,-,0.0,0,0,0,0,0,0,18,0,18,0,t0223,2024-10-21
dolnośląskie,ząbkowicki,-,-,1,-,-,0.16,0,0,0,1,0,0,1,1,0,0,t0224,2024-10-21
dolnośląskie,zgorzelecki,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0225,2024-10-21
dolnośląskie,złotoryjski,-,-,0,-,-,0.0,0,0,0,0,0,0,1,0,1,0,t0226,2024-10-21
dolnośląskie,Jelenia Góra,-,-,6,-,-,0.76,0,0,0,9,0,0,16,6,10,0,t0261,2024-10-21
dolnośląskie,Legnica,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0262,2024-10-21
dolnośląskie,Wrocław,-,-,7,-,-,0.11,0,0,0,14,0,0,32,7,25,0,t0264,2024-10-21
dolnośląskie,Wałbrzych,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0265,2024-10-21
kujawsko-pomorskie,aleksandrowski,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0401,2024-10-21
kujawsko-pomorskie,brodnicki,-,-,1,-,-,0.13,0,0,0,0,0,0,2,1,1,0,t0402,2024-10-21
kujawsko-pomorskie,bydgoski,-,-,3,-,-,0.25,0,0,0,0,0,0,9,3,6,0,t0403,2024-10-21
kujawsko-pomorskie,chełmiński,-,-,2,-,-,0.39,0,0,0,3,0,0,10,2,8,0,t0404,2024-10-21
kujawsko-pomorskie,golubsko-dobrzyński,-,-,1,-,-,0.22,0,0,0,1,0,0,1,1,0,0,t0405,2024-10-21
kujawsko-pomorskie,grudziądzki,-,-,3,-,-,0.75,0,0,0,2,0,0,18,3,15,0,t0406,2024-10-21
kujawsko-pomorskie,inowrocławski,-,-,14,-,-,0.88,0,0,0,27,0,0,47,16,31,0,t0407,2024-10-21
kujawsko-pomorskie,lipnowski,-,-,1,-,-,0.15,0,0,0,2,0,0,8,1,7,0,t0408,2024-10-21
kujawsko-pomorskie,mogileński,-,-,0,-,-,0.0,0,0,0,0,0,0,1,0,1,0,t0409,2024-10-21
kujawsko-pomorskie,nakielski,-,-,0,-,-,0.0,0,0,0,0,0,0,2,0,2,0,t0410,2024-10-21
kujawsko-pomorskie,radziejowski,-,-,0,-,-,0.0,0,0,0,3,0,0,4,0,4,0,t0411,2024-10-21
kujawsko-pomorskie,rypiński,-,-,1,-,-,0.23,0,0,0,0,0,0,1,1,0,0,t0412,2024-10-21
kujawsko-pomorskie,sępoleński,-,-,0,-,-,0.0,0,0,0,1,0,0,3,0,3,0,t0413,2024-10-21
kujawsko-pomorskie,świecki,-,-,3,-,-,0.3,0,0,0,14,0,0,21,3,18,0,t0414,2024-10-21
kujawsko-pomorskie,toruński,-,-,1,-,-,0.09,0,0,0,9,0,0,9,1,8,0,t0415,2024-10-21
kujawsko-pomorskie,tucholski,-,-,0,-,-,0.0,0,0,0,0,0,0,1,0,1,0,t0416,2024-10-21
kujawsko-pomorskie,wąbrzeski,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0417,2024-10-21
kujawsko-pomorskie,włocławski,-,-,3,-,-,0.35,0,0,0,1,0,0,17,3,14,0,t0418,2024-10-21
kujawsko-pomorskie,żniński,-,-,1,-,-,0.14,0,0,0,1,0,0,4,1,3,0,t0419,2024-10-21
kujawsko-pomorskie,Bydgoszcz,-,-,9,-,-,0.26,0,0,0,5,0,0,25,9,16,0,t0461,2024-10-21
kujawsko-pomorskie,Grudziądz,-,-,8,-,-,0.85,0,0,0,6,0,0,18,8,10,0,t0462,2024-10-21
kujawsko-pomorskie,Toruń,-,-,6,-,-,0.3,0,0,0,14,0,0,16,6,10,0,t0463,2024-10-21
kujawsko-pomorskie,Włocławek,-,-,1,-,-,0.09,0,0,0,1,0,0,13,1,12,0,t0464,2024-10-21
lubelskie,bialski,-,-,4,-,-,0.36,0,0,0,6,0,0,15,4,11,0,t0601,2024-10-21
lubelskie,biłgorajski,-,-,2,-,-,0.2,0,0,0,1,0,0,2,2,0,0,t0602,2024-10-21
lubelskie,chełmski,-,-,5,-,-,0.64,0,0,0,6,0,0,6,5,1,0,t0603,2024-10-21
lubelskie,hrubieszowski,-,-,4,-,-,0.64,0,0,0,8,0,0,13,5,8,0,t0604,2024-10-21
lubelskie,janowski,-,-,1,-,-,0.22,0,0,0,2,0,0,4,1,3,0,t0605,2024-10-21
lubelskie,krasnostawski,-,-,0,-,-,0.0,0,0,0,1,0,0,2,0,2,0,t0606,2024-10-21
