wojewodztwo,powiat,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_wszystkich_zakazen,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_wszystkich_zakazen_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
lubelskie,Biała Podlaska,2,1,3,0.35,0.17,0.52,0,0,0,3,0,0,13,4,9,0,t0661,2022-11-22
lubelskie,Chełm,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,12,0,12,0,t0662,2022-11-22
lubelskie,Lublin,4,1,5,0.12,0.03,0.15,0,0,0,17,0,0,117,6,111,0,t0663,2022-11-22
lubelskie,Zamość,1,1,2,0.16,0.16,0.32,0,0,0,2,0,0,9,2,7,0,t0664,2022-11-22
lubuskie,gorzowski,0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,6,0,6,0,t0801,2022-11-22
lubuskie,krośnieński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,4,0,t0802,2022-11-22
lubuskie,międzyrzecki,1,0,1,0.17,0.0,0.17,0,0,0,1,0,0,19,1,18,0,t0803,2022-11-22
lubuskie,nowosolski,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,4,0,4,0,t0804,2022-11-22
lubuskie,słubicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,10,1,9,0,t0805,2022-11-22
lubuskie,strzelecko-drezdenecki,2,0,2,0.41,0.0,0.41,0,0,0,1,0,0,15,2,13,0,t0806,2022-11-22
lubuskie,sulęciński,1,0,1,0.28,0.0,0.28,0,0,0,1,0,0,3,1,2,0,t0807,2022-11-22
lubuskie,świebodziński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,5,0,t0808,2022-11-22
lubuskie,zielonogórski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,4,0,t0809,2022-11-22
lubuskie,żagański,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,6,0,t0810,2022-11-22
lubuskie,żarski,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,11,0,11,0,t0811,2022-11-22
lubuskie,wschowski,1,0,1,0.26,0.0,0.26,0,0,0,6,0,0,9,1,8,0,t0812,2022-11-22
lubuskie,Gorzów Wielkopolski,0,0,0,0.0,0.0,0.0,0,0,0,4,0,0,18,0,17,1,t0861,2022-11-22
lubuskie,Zielona Góra,2,1,3,0.14,0.07,0.21,0,0,0,8,0,0,22,3,19,0,t0862,2022-11-22
łódzkie,bełchatowski,1,0,1,0.09,0.0,0.09,0,0,0,5,0,0,11,1,10,0,t1001,2022-11-22
łódzkie,kutnowski,0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,5,0,5,0,t1002,2022-11-22
łódzkie,łaski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,6,0,t1003,2022-11-22
łódzkie,łęczycki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t1004,2022-11-22
łódzkie,łowicki,1,0,1,0.13,0.0,0.13,1,1,0,1,0,0,6,1,5,0,t1005,2022-11-22
łódzkie,łódzki wschodni,1,0,1,0.14,0.0,0.14,0,0,0,1,0,0,3,1,2,0,t1006,2022-11-22
łódzkie,opoczyński,1,0,1,0.13,0.0,0.13,0,0,0,3,0,0,7,1,6,0,t1007,2022-11-22
łódzkie,pabianicki,2,1,3,0.17,0.08,0.25,0,0,0,2,0,0,7,3,4,0,t1008,2022-11-22
łódzkie,pajęczański,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,10,0,10,0,t1009,2022-11-22
łódzkie,piotrkowski,3,0,3,0.33,0.0,0.33,0,0,0,2,0,0,10,3,7,0,t1010,2022-11-22
łódzkie,poddębicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,3,0,t1011,2022-11-22
łódzkie,radomszczański,0,0,0,0.0,0.0,0.0,0,0,0,3,0,0,22,0,22,0,t1012,2022-11-22
łódzkie,rawski,0,0,0,0.0,0.0,0.0,0,0,0,5,0,0,5,0,5,0,t1013,2022-11-22
łódzkie,sieradzki,1,0,1,0.09,0.0,0.09,0,0,0,0,0,0,41,1,40,0,t1014,2022-11-22
łódzkie,skierniewicki,0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,4,0,4,0,t1015,2022-11-22
łódzkie,tomaszowski,1,0,1,0.09,0.0,0.09,0,0,0,0,0,0,11,2,9,0,t1016,2022-11-22
łódzkie,wieluński,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,12,0,12,0,t1017,2022-11-22
