wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
małopolskie,proszowicki,-,-,21,-,-,4.87,0,0,0,61,21,577,80,24,56,0,t1214,2022-01-24
małopolskie,suski,-,-,65,-,-,7.72,2,1,1,113,44,1138,257,78,175,4,t1215,2022-01-24
małopolskie,tarnowski,-,-,144,-,-,7.15,0,0,0,299,89,2262,465,170,286,9,t1216,2022-01-24
małopolskie,tatrzański,-,-,31,-,-,4.55,0,0,0,67,56,619,174,42,131,1,t1217,2022-01-24
małopolskie,wadowicki,-,-,112,-,-,7.0,1,0,1,350,79,2362,377,143,229,5,t1218,2022-01-24
małopolskie,wielicki,-,-,197,-,-,15.16,1,1,0,192,97,2875,562,233,318,11,t1219,2022-01-24
małopolskie,Kraków,-,-,996,-,-,12.75,4,1,3,1269,1024,12733,3263,1166,2036,61,t1261,2022-01-24
małopolskie,Nowy Sącz,-,-,73,-,-,8.72,4,4,0,79,39,741,266,94,172,0,t1262,2022-01-24
małopolskie,Tarnów,-,-,75,-,-,6.93,1,1,0,196,51,1370,281,95,182,4,t1263,2022-01-24
mazowieckie,białobrzeski,-,-,56,-,-,16.8,0,0,0,78,9,1226,142,59,79,4,t1401,2022-01-24
mazowieckie,ciechanowski,-,-,22,-,-,2.47,0,0,0,259,6,2732,181,32,149,0,t1402,2022-01-24
mazowieckie,garwoliński,-,-,127,-,-,11.66,1,1,0,222,40,2844,427,150,266,11,t1403,2022-01-24
mazowieckie,gostyniński,-,-,29,-,-,6.48,1,0,1,74,6,830,145,31,109,5,t1404,2022-01-24
mazowieckie,grodziski,-,-,231,-,-,23.89,0,0,0,306,47,4332,783,276,482,25,t1405,2022-01-24
mazowieckie,grójecki,-,-,106,-,-,10.8,2,1,1,218,26,4437,331,119,202,10,t1406,2022-01-24
mazowieckie,kozienicki,-,-,29,-,-,4.85,0,0,0,119,12,1707,183,37,145,1,t1407,2022-01-24
mazowieckie,legionowski,-,-,201,-,-,16.85,0,0,0,367,99,6547,729,224,487,18,t1408,2022-01-24
mazowieckie,lipski,-,-,20,-,-,5.93,0,0,0,41,9,499,97,24,71,2,t1409,2022-01-24
mazowieckie,łosicki,-,-,13,-,-,4.24,0,0,0,34,1,385,88,16,72,0,t1410,2022-01-24
mazowieckie,makowski,-,-,27,-,-,6.04,0,0,0,70,9,714,114,27,85,2,t1411,2022-01-24
mazowieckie,miński,-,-,182,-,-,11.75,0,0,0,317,71,6489,667,203,440,24,t1412,2022-01-24
mazowieckie,mławski,-,-,58,-,-,8.01,0,0,0,136,21,2042,215,63,149,3,t1413,2022-01-24
mazowieckie,nowodworski,-,-,87,-,-,10.95,1,1,0,174,38,3563,318,97,203,18,t1414,2022-01-24
mazowieckie,ostrołęcki,-,-,62,-,-,7.0,0,0,0,145,18,1874,165,66,90,9,t1415,2022-01-24
mazowieckie,ostrowski,-,-,46,-,-,6.38,0,0,0,136,7,1119,192,53,138,1,t1416,2022-01-24
mazowieckie,otwocki,-,-,218,-,-,17.52,0,0,0,405,110,4966,729,246,463,20,t1417,2022-01-24
mazowieckie,piaseczyński,-,-,216,-,-,11.4,0,0,0,412,145,7879,893,254,616,23,t1418,2022-01-24
mazowieckie,płocki,-,-,81,-,-,7.3,1,1,0,300,31,2721,336,95,227,14,t1419,2022-01-24
mazowieckie,płoński,-,-,61,-,-,7.02,1,0,1,181,15,2343,278,76,199,3,t1420,2022-01-24
mazowieckie,pruszkowski,-,-,254,-,-,15.26,0,0,0,371,128,7541,863,288,560,15,t1421,2022-01-24
mazowieckie,przasnyski,-,-,17,-,-,3.25,0,0,0,93,4,1226,100,18,82,0,t1422,2022-01-24
mazowieckie,przysuski,-,-,37,-,-,8.95,1,0,1,117,6,885,120,41,73,6,t1423,2022-01-24
mazowieckie,pułtuski,-,-,21,-,-,4.05,0,0,0,107,12,1005,113,26,84,3,t1424,2022-01-24
mazowieckie,radomski,-,-,115,-,-,7.55,0,0,0,233,26,3139,489,132,345,12,t1425,2022-01-24
mazowieckie,siedlecki,-,-,62,-,-,7.62,1,0,1,150,19,2663,255,80,165,10,t1426,2022-01-24
mazowieckie,sierpecki,-,-,57,-,-,11.02,0,0,0,229,14,1390,244,68,173,3,t1427,2022-01-24
mazowieckie,sochaczewski,-,-,88,-,-,10.35,0,0,0,396,20,3172,392,102,287,3,t1428,2022-01-24
mazowieckie,sokołowski,-,-,45,-,-,8.39,0,0,0,160,15,1685,154,52,100,2,t1429,2022-01-24
mazowieckie,szydłowiecki,-,-,17,-,-,4.3,0,0,0,66,5,598,94,23,69,2,t1430,2022-01-24
mazowieckie,warszawski zachodni,-,-,151,-,-,12.64,0,0,0,253,83,5347,574,171,399,4,t1432,2022-01-24
mazowieckie,węgrowski,-,-,77,-,-,11.73,0,0,0,137,10,1634,257,88,162,7,t1433,2022-01-24
mazowieckie,wołomiński,-,-,451,-,-,17.95,0,0,0,636,191,12728,1528,527,963,38,t1434,2022-01-24
mazowieckie,wyszkowski,-,-,34,-,-,4.58,0,0,0,163,17,1927,155,39,106,10,t1435,2022-01-24
mazowieckie,zwoleński,-,-,9,-,-,2.5,0,0,0,78,3,773,99,10,89,0,t1436,2022-01-24
mazowieckie,żuromiński,-,-,16,-,-,4.17,1,0,1,57,14,1274,86,16,69,1,t1437,2022-01-24
mazowieckie,żyrardowski,-,-,82,-,-,10.84,0,0,0,147,22,2655,260,94,164,2,t1438,2022-01-24
mazowieckie,Ostrołęka,-,-,41,-,-,7.9,0,0,0,143,6,1114,127,48,76,3,t1461,2022-01-24
mazowieckie,Płock,-,-,96,-,-,8.07,2,2,0,315,43,3418,437,109,311,17,t1462,2022-01-24
mazowieckie,Radom,-,-,220,-,-,10.45,0,0,0,287,71,5471,804,253,521,30,t1463,2022-01-24
mazowieckie,Siedlce,-,-,60,-,-,7.67,2,0,2,188,23,3160,232,70,159,3,t1464,2022-01-24
mazowieckie,Warszawa,-,-,2517,-,-,14.03,5,0,5,2715,1643,66723,10200,2888,7132,180,t1465,2022-01-24
opolskie,brzeski,-,-,60,-,-,6.69,0,0,0,165,12,1992,201,66,132,3,t1601,2022-01-24
opolskie,głubczycki,-,-,22,-,-,4.86,0,0,0,162,16,974,133,24,108,1,t1602,2022-01-24
opolskie,kędzierzyńsko-kozielski,-,-,132,-,-,14.11,0,0,0,338,63,4011,382,157,219,6,t1603,2022-01-24
opolskie,kluczborski,-,-,43,-,-,6.59,0,0,0,163,7,1185,154,49,104,1,t1604,2022-01-24
opolskie,krapkowicki,-,-,56,-,-,8.81,0,0,0,194,21,1829,193,68,125,0,t1605,2022-01-24
opolskie,namysłowski,-,-,18,-,-,4.22,0,0,0,58,27,1172,68,21,46,1,t1606,2022-01-24
opolskie,nyski,-,-,151,-,-,11.14,1,0,1,382,22,3285,497,185,303,9,t1607,2022-01-24
opolskie,oleski,-,-,31,-,-,4.83,3,0,3,137,33,1188,115,32,81,2,t1608,2022-01-24
opolskie,opolski,-,-,115,-,-,9.29,0,0,0,247,44,3420,394,133,255,6,t1609,2022-01-24
opolskie,prudnicki,-,-,16,-,-,2.9,0,0,0,104,4,1043,124,18,104,2,t1610,2022-01-24
opolskie,strzelecki,-,-,44,-,-,5.93,1,0,1,248,45,2912,311,64,247,0,t1611,2022-01-24
opolskie,Opole,-,-,186,-,-,14.53,2,1,1,229,48,4015,667,218,440,9,t1661,2022-01-24
podkarpackie,bieszczadzki,-,-,37,-,-,17.15,2,0,2,60,2,611,92,38,54,0,t1801,2022-01-24
podkarpackie,brzozowski,-,-,76,-,-,11.6,0,0,0,131,11,2269,277,95,178,4,t1802,2022-01-24
podkarpackie,dębicki,-,-,114,-,-,8.43,0,0,0,176,52,4396,336,129,207,0,t1803,2022-01-24
podkarpackie,jarosławski,-,-,75,-,-,6.24,0,0,0,297,30,3191,334,89,243,2,t1804,2022-01-24
podkarpackie,jasielski,-,-,79,-,-,6.98,0,0,0,165,27,3611,315,83,231,1,t1805,2022-01-24
podkarpackie,kolbuszowski,-,-,42,-,-,6.75,0,0,0,59,26,1806,186,51,135,0,t1806,2022-01-24
podkarpackie,krośnieński,-,-,80,-,-,7.13,0,0,0,227,34,1153,355,96,257,2,t1807,2022-01-24
podkarpackie,leżajski,-,-,70,-,-,10.11,0,0,0,177,28,2270,323,96,224,3,t1808,2022-01-24
podkarpackie,lubaczowski,-,-,19,-,-,3.46,0,0,0,70,27,1405,135,23,112,0,t1809,2022-01-24
podkarpackie,łańcucki,-,-,120,-,-,14.79,1,0,1,238,43,3055,405,136,268,1,t1810,2022-01-24
podkarpackie,mielecki,-,-,172,-,-,12.58,0,0,0,287,64,4170,469,184,284,1,t1811,2022-01-24
podkarpackie,niżański,-,-,44,-,-,6.62,0,0,0,87,21,1975,215,56,159,0,t1812,2022-01-24
