wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,teryt,liczba_ozdrowiencow
łódzkie,poddębicki,-,-,3,-,-,"0,73",0,0,0,t1011,-
łódzkie,radomszczański,-,-,21,-,-,"1,87",0,0,0,t1012,-
łódzkie,rawski,-,-,8,-,-,"1,65",0,0,0,t1013,-
łódzkie,sieradzki,-,-,19,-,-,"1,62",3,0,3,t1014,-
łódzkie,skierniewicki,-,-,4,-,-,"1,05",0,0,0,t1015,-
łódzkie,tomaszowski,-,-,24,-,-,"2,07",0,0,0,t1016,-
łódzkie,wieluński,-,-,12,-,-,"1,58",0,0,0,t1017,-
łódzkie,wieruszowski,-,-,1,-,-,"0,24",1,0,1,t1018,-
łódzkie,zduńskowolski,-,-,10,-,-,"1,51",2,0,2,t1019,-
łódzkie,zgierski,-,-,44,-,-,"2,65",0,0,0,t1020,-
łódzkie,brzeziński,-,-,7,-,-,"2,27",0,0,0,t1021,-
łódzkie,Łódź,-,-,251,-,-,"3,71",18,0,18,t1061,-
łódzkie,Piotrków Trybunalski,-,-,13,-,-,"1,79",0,0,0,t1062,-
łódzkie,Skierniewice,-,-,11,-,-,"2,29",0,0,0,t1063,-
małopolskie,bocheński,-,-,12,-,-,"1,12",0,0,0,t1201,-
małopolskie,brzeski,-,-,2,-,-,"0,21",0,0,0,t1202,-
małopolskie,chrzanowski,-,-,8,-,-,"0,64",0,0,0,t1203,-
małopolskie,dąbrowski,-,-,2,-,-,"0,34",0,0,0,t1204,-
małopolskie,gorlicki,-,-,3,-,-,"0,28",0,0,0,t1205,-
małopolskie,krakowski,-,-,55,-,-,"1,96",0,0,0,t1206,-
małopolskie,limanowski,-,-,8,-,-,"0,61",0,0,0,t1207,-
małopolskie,miechowski,-,-,5,-,-,"1,03",0,0,0,t1208,-
małopolskie,myślenicki,-,-,18,-,-,"1,41",0,0,0,t1209,-
małopolskie,nowosądecki,-,-,24,-,-,"1,11",0,0,0,t1210,-
małopolskie,nowotarski,-,-,4,-,-,"0,21",0,0,0,t1211,-
małopolskie,olkuski,-,-,11,-,-,"0,99",0,0,0,t1212,-
małopolskie,oświęcimski,-,-,25,-,-,"1,63",0,0,0,t1213,-
małopolskie,proszowicki,-,-,1,-,-,"0,23",0,0,0,t1214,-
małopolskie,suski,-,-,9,-,-,"1,07",0,0,0,t1215,-
małopolskie,tarnowski,-,-,15,-,-,"0,74",0,0,0,t1216,-
małopolskie,tatrzański,-,-,4,-,-,"0,59",0,0,0,t1217,-
małopolskie,wadowicki,-,-,25,-,-,"1,56",0,0,0,t1218,-
małopolskie,wielicki,-,-,9,-,-,"0,69",0,0,0,t1219,-
małopolskie,Kraków,-,-,191,-,-,"2,45",2,2,0,t1261,-
małopolskie,Nowy Sącz,-,-,12,-,-,"1,43",0,0,0,t1262,-
małopolskie,Tarnów,-,-,10,-,-,"0,92",0,0,0,t1263,-
mazowieckie,białobrzeski,-,-,17,-,-,"5,10",0,0,0,t1401,-
mazowieckie,ciechanowski,-,-,27,-,-,"3,03",0,0,0,t1402,-
mazowieckie,garwoliński,-,-,12,-,-,"1,10",0,0,0,t1403,-
mazowieckie,gostyniński,-,-,16,-,-,"3,57",1,0,1,t1404,-
mazowieckie,grodziski,-,-,34,-,-,"3,52",0,0,0,t1405,-
mazowieckie,grójecki,-,-,11,-,-,"1,12",0,0,0,t1406,-
mazowieckie,kozienicki,-,-,9,-,-,"1,51",0,0,0,t1407,-
mazowieckie,legionowski,-,-,41,-,-,"3,44",1,0,1,t1408,-
mazowieckie,lipski,-,-,5,-,-,"1,48",0,0,0,t1409,-
mazowieckie,łosicki,-,-,2,-,-,"0,65",0,0,0,t1410,-
mazowieckie,makowski,-,-,12,-,-,"2,69",0,0,0,t1411,-
mazowieckie,miński,-,-,62,-,-,"4,00",0,0,0,t1412,-
mazowieckie,mławski,-,-,23,-,-,"3,17",0,0,0,t1413,-
mazowieckie,nowodworski,-,-,16,-,-,"2,01",0,0,0,t1414,-
mazowieckie,ostrołęcki,-,-,3,-,-,"0,34",0,0,0,t1415,-
mazowieckie,ostrowski,-,-,9,-,-,"1,25",1,0,1,t1416,-
mazowieckie,otwocki,-,-,12,-,-,"0,96",0,0,0,t1417,-
mazowieckie,piaseczyński,-,-,42,-,-,"2,22",0,0,0,t1418,-
mazowieckie,płocki,-,-,48,-,-,"4,33",3,2,1,t1419,-
mazowieckie,płoński,-,-,11,-,-,"1,27",0,0,0,t1420,-
mazowieckie,pruszkowski,-,-,90,-,-,"5,41",0,0,0,t1421,-
mazowieckie,przasnyski,-,-,1,-,-,"0,19",1,1,0,t1422,-
mazowieckie,przysuski,-,-,4,-,-,"0,97",0,0,0,t1423,-
mazowieckie,pułtuski,-,-,3,-,-,"0,58",0,0,0,t1424,-
mazowieckie,radomski,-,-,27,-,-,"1,77",3,3,0,t1425,-
mazowieckie,siedlecki,-,-,1,-,-,"0,12",0,0,0,t1426,-
mazowieckie,sierpecki,-,-,10,-,-,"1,93",0,0,0,t1427,-
mazowieckie,sochaczewski,-,-,36,-,-,"4,24",0,0,0,t1428,-
mazowieckie,sokołowski,-,-,12,-,-,"2,24",0,0,0,t1429,-
mazowieckie,szydłowiecki,-,-,1,-,-,"0,25",0,0,0,t1430,-
mazowieckie,warszawski zachodni,-,-,48,-,-,"4,02",0,0,0,t1432,-
mazowieckie,węgrowski,-,-,12,-,-,"1,83",0,0,0,t1433,-
mazowieckie,wołomiński,-,-,65,-,-,"2,59",0,0,0,t1434,-
mazowieckie,wyszkowski,-,-,12,-,-,"1,62",0,0,0,t1435,-
mazowieckie,zwoleński,-,-,8,-,-,"2,22",0,0,0,t1436,-
mazowieckie,żuromiński,-,-,11,-,-,"2,87",0,0,0,t1437,-
mazowieckie,żyrardowski,-,-,16,-,-,"2,12",1,0,1,t1438,-
mazowieckie,Ostrołęka,-,-,9,-,-,"1,73",0,0,0,t1461,-
mazowieckie,Płock,-,-,64,-,-,"5,38",3,2,1,t1462,-
mazowieckie,Radom,-,-,43,-,-,"2,04",2,2,0,t1463,-
mazowieckie,Siedlce,-,-,5,-,-,"0,64",0,0,0,t1464,-
mazowieckie,Warszawa,-,-,575,-,-,"3,21",8,0,8,t1465,-
opolskie,brzeski,-,-,27,-,-,"3,01",1,0,1,t1601,-
opolskie,głubczycki,-,-,20,-,-,"4,42",0,0,0,t1602,-
opolskie,kędzierzyńsko-kozielski,-,-,16,-,-,"1,71",0,0,0,t1603,-
opolskie,kluczborski,-,-,31,-,-,"4,75",0,0,0,t1604,-
opolskie,krapkowicki,-,-,21,-,-,"3,30",3,0,3,t1605,-
opolskie,namysłowski,-,-,7,-,-,"1,64",0,0,0,t1606,-
opolskie,nyski,-,-,29,-,-,"2,14",0,0,0,t1607,-
opolskie,oleski,-,-,20,-,-,"3,12",0,0,0,t1608,-
opolskie,opolski,-,-,49,-,-,"3,96",1,0,1,t1609,-
opolskie,prudnicki,-,-,10,-,-,"1,82",0,0,0,t1610,-
opolskie,strzelecki,-,-,15,-,-,"2,02",0,0,0,t1611,-
opolskie,Opole,-,-,80,-,-,"6,25",0,0,0,t1661,-
podkarpackie,bieszczadzki,-,-,1,-,-,"0,46",0,0,0,t1801,-
podkarpackie,brzozowski,-,-,5,-,-,"0,76",0,0,0,t1802,-
podkarpackie,dębicki,-,-,18,-,-,"1,33",0,0,0,t1803,-
podkarpackie,jarosławski,-,-,76,-,-,"6,33",0,0,0,t1804,-
podkarpackie,jasielski,-,-,105,-,-,"9,27",0,0,0,t1805,-
podkarpackie,kolbuszowski,-,-,2,-,-,"0,32",0,0,0,t1806,-
podkarpackie,krośnieński,-,-,55,-,-,"4,90",0,0,0,t1807,-
podkarpackie,leżajski,-,-,10,-,-,"1,44",1,0,1,t1808,-
