wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,teryt,liczba_ozdrowiencow
wielkopolskie,kępiński,-,-,13,-,-,"2,30",1,1,0,t3008,-
wielkopolskie,kolski,-,-,6,-,-,"0,69",0,0,0,t3009,-
wielkopolskie,koniński,-,-,34,-,-,"2,62",0,0,0,t3010,-
wielkopolskie,kościański,-,-,46,-,-,"5,81",3,3,0,t3011,-
wielkopolskie,krotoszyński,-,-,40,-,-,"5,18",2,0,2,t3012,-
wielkopolskie,leszczyński,-,-,13,-,-,"2,26",0,0,0,t3013,-
wielkopolskie,międzychodzki,-,-,37,-,-,"10,09",0,0,0,t3014,-
wielkopolskie,nowotomyski,-,-,30,-,-,"3,96",1,0,1,t3015,-
wielkopolskie,obornicki,-,-,39,-,-,"6,52",0,0,0,t3016,-
wielkopolskie,ostrowski,-,-,41,-,-,"2,54",0,0,0,t3017,-
wielkopolskie,ostrzeszowski,-,-,16,-,-,"2,89",0,0,0,t3018,-
wielkopolskie,pilski,-,-,70,-,-,"5,15",4,1,3,t3019,-
wielkopolskie,pleszewski,-,-,11,-,-,"1,75",0,0,0,t3020,-
wielkopolskie,poznański,-,-,200,-,-,"4,96",1,0,1,t3021,-
wielkopolskie,rawicki,-,-,20,-,-,"3,32",1,0,1,t3022,-
wielkopolskie,słupecki,-,-,41,-,-,"6,95",0,0,0,t3023,-
wielkopolskie,szamotulski,-,-,52,-,-,"5,67",0,0,0,t3024,-
wielkopolskie,średzki,-,-,70,-,-,"11,86",0,0,0,t3025,-
wielkopolskie,śremski,-,-,4,-,-,"0,65",1,1,0,t3026,-
wielkopolskie,turecki,-,-,53,-,-,"6,32",1,0,1,t3027,-
wielkopolskie,wągrowiecki,-,-,10,-,-,"1,42",1,0,1,t3028,-
wielkopolskie,wolsztyński,-,-,18,-,-,"3,13",0,0,0,t3029,-
wielkopolskie,wrzesiński,-,-,57,-,-,"7,30",1,1,0,t3030,-
wielkopolskie,złotowski,-,-,25,-,-,"3,61",1,0,1,t3031,-
wielkopolskie,Kalisz,-,-,17,-,-,"1,70",2,0,2,t3061,-
wielkopolskie,Konin,-,-,36,-,-,"4,92",0,0,0,t3062,-
wielkopolskie,Leszno,-,-,20,-,-,"3,16",0,0,0,t3063,-
wielkopolskie,Poznań,-,-,343,-,-,"6,43",5,1,4,t3064,-
zachodniopomorskie,białogardzki,-,-,33,-,-,"6,96",1,0,1,t3201,-
zachodniopomorskie,choszczeński,-,-,56,-,-,"11,66",0,0,0,t3202,-
zachodniopomorskie,drawski,-,-,64,-,-,"11,26",0,0,0,t3203,-
zachodniopomorskie,goleniowski,-,-,17,-,-,"2,06",0,0,0,t3204,-
zachodniopomorskie,gryficki,-,-,43,-,-,"7,16",3,0,3,t3205,-
zachodniopomorskie,gryfiński,-,-,61,-,-,"7,48",0,0,0,t3206,-
zachodniopomorskie,kamieński,-,-,49,-,-,"10,46",0,0,0,t3207,-
zachodniopomorskie,kołobrzeski,-,-,87,-,-,"10,96",1,0,1,t3208,-
zachodniopomorskie,koszaliński,-,-,66,-,-,"9,93",1,0,1,t3209,-
zachodniopomorskie,myśliborski,-,-,20,-,-,"3,06",0,0,0,t3210,-
zachodniopomorskie,policki,-,-,62,-,-,"7,63",0,0,0,t3211,-
zachodniopomorskie,pyrzycki,-,-,30,-,-,"7,64",0,0,0,t3212,-
zachodniopomorskie,sławieński,-,-,44,-,-,"7,86",2,0,2,t3213,-
zachodniopomorskie,stargardzki,-,-,118,-,-,"9,82",0,0,0,t3214,-
zachodniopomorskie,szczecinecki,-,-,85,-,-,"10,98",0,0,0,t3215,-
zachodniopomorskie,świdwiński,-,-,20,-,-,"4,30",0,0,0,t3216,-
zachodniopomorskie,wałecki,-,-,43,-,-,"8,12",2,0,2,t3217,-
zachodniopomorskie,łobeski,-,-,16,-,-,"4,38",0,0,0,t3218,-
zachodniopomorskie,Koszalin,-,-,122,-,-,"11,41",1,0,1,t3261,-
zachodniopomorskie,Szczecin,-,-,276,-,-,"6,88",6,0,6,t3262,-
zachodniopomorskie,Świnoujście,-,-,12,-,-,"2,94",1,0,1,t3263,-
