wojewodztwo,powiat,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_wszystkich_zakazen,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_wszystkich_zakazen_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
lubuskie,gorzowski,15,1,16,2.08,0.14,2.22,0,0,0,0,22,165,82,19,60,3,t0801,2022-03-12
lubuskie,krośnieński,16,1,17,2.92,0.18,3.11,0,0,0,0,31,171,65,18,46,1,t0802,2022-03-12
lubuskie,międzyrzecki,13,1,14,2.27,0.17,2.44,0,0,0,0,16,137,78,17,60,1,t0803,2022-03-12
lubuskie,nowosolski,12,4,16,1.4,0.47,1.86,0,0,0,0,18,152,102,18,83,1,t0804,2022-03-12
lubuskie,słubicki,16,3,19,3.41,0.64,4.05,0,0,0,2,18,126,109,20,89,0,t0805,2022-03-12
lubuskie,strzelecko-drezdenecki,17,3,20,3.48,0.61,4.09,0,0,0,0,7,125,79,23,56,0,t0806,2022-03-12
lubuskie,sulęciński,12,1,13,3.42,0.28,3.7,0,0,0,0,8,112,50,15,33,2,t0807,2022-03-12
lubuskie,świebodziński,12,2,14,2.16,0.36,2.51,0,0,0,2,25,152,74,15,57,2,t0808,2022-03-12
lubuskie,zielonogórski,21,5,26,2.78,0.66,3.44,0,0,0,0,16,158,115,29,84,2,t0809,2022-03-12
lubuskie,żagański,21,4,25,2.67,0.51,3.18,0,0,0,1,9,143,93,26,63,4,t0810,2022-03-12
lubuskie,żarski,20,0,20,2.09,0.0,2.09,0,0,0,0,22,163,92,21,70,1,t0811,2022-03-12
lubuskie,wschowski,4,1,5,1.03,0.26,1.29,0,0,0,0,7,52,41,5,35,1,t0812,2022-03-12
lubuskie,Gorzów Wielkopolski,30,5,35,2.43,0.41,2.84,0,0,0,0,40,275,143,38,102,3,t0861,2022-03-12
lubuskie,Zielona Góra,49,4,53,3.47,0.28,3.75,0,0,0,4,44,353,214,56,156,2,t0862,2022-03-12
łódzkie,bełchatowski,6,0,6,0.53,0.0,0.53,0,0,0,2,11,65,60,6,54,0,t1001,2022-03-12
łódzkie,kutnowski,11,0,11,1.14,0.0,1.14,0,0,0,0,6,89,112,12,99,1,t1002,2022-03-12
łódzkie,łaski,2,0,2,0.4,0.0,0.4,0,0,0,0,3,20,39,2,37,0,t1003,2022-03-12
łódzkie,łęczycki,5,2,7,1.01,0.4,1.41,0,0,0,0,2,41,73,7,66,0,t1004,2022-03-12
łódzkie,łowicki,10,1,11,1.28,0.13,1.41,0,0,0,0,10,138,96,12,84,0,t1005,2022-03-12
łódzkie,łódzki wschodni,8,1,9,1.1,0.14,1.24,0,0,0,1,11,87,97,10,86,1,t1006,2022-03-12
łódzkie,opoczyński,4,0,4,0.53,0.0,0.53,0,0,0,0,3,37,61,4,57,0,t1007,2022-03-12
łódzkie,pabianicki,13,1,14,1.09,0.08,1.17,0,0,0,2,28,175,115,16,98,1,t1008,2022-03-12
łódzkie,pajęczański,1,1,2,0.2,0.2,0.39,0,0,0,2,2,27,34,2,32,0,t1009,2022-03-12
łódzkie,piotrkowski,3,0,3,0.33,0.0,0.33,0,0,0,1,7,57,72,3,69,0,t1010,2022-03-12
łódzkie,poddębicki,3,1,4,0.73,0.24,0.97,0,0,0,0,7,32,36,4,32,0,t1011,2022-03-12
łódzkie,radomszczański,8,0,8,0.71,0.0,0.71,1,0,1,0,7,56,96,8,88,0,t1012,2022-03-12
łódzkie,rawski,6,0,6,1.24,0.0,1.24,0,0,0,0,2,70,44,6,37,1,t1013,2022-03-12
łódzkie,sieradzki,5,1,6,0.43,0.09,0.51,0,0,0,0,5,85,119,6,113,0,t1014,2022-03-12
