Date,Voivodeships,Districts,Terytorial Code,14D Total Deaths / 10000,7D AVR Infections / 10000,(% ) Booster Dose,Date - Booster Dose,Population / 10000
2023-12-25,mazowieckie,Ostrowski,1416,0.1392951665,0.9714285714,23.89190695,2023-12-23,7.179
2023-12-25,mazowieckie,Otwocki,1417,0.1609230546,1.081428571,39.64419913,2023-12-23,12.4283
2023-12-25,mazowieckie,Piaseczyński,1418,0,0.6485714286,59.46454991,2023-12-23,19.0606
2023-12-25,mazowieckie,Płocki,1419,0,0.3985714286,22.04673927,2023-12-23,11.0742
2023-12-25,mazowieckie,Płoński,1420,0,0.4614285714,28.05782788,2023-12-23,8.6671
2023-12-25,mazowieckie,Pruszkowski,1421,0,0.1885714286,45.52343127,2023-12-23,16.6679
2023-12-25,mazowieckie,Przasnyski,1422,0.1919348957,0.6828571429,28.28928427,2023-12-23,5.2101
2023-12-25,mazowieckie,Przysuski,1423,0,0.9342857143,25.41214803,2023-12-23,4.1126
2023-12-25,mazowieckie,Pułtuski,1424,0,0.6885714286,28.7682882,2023-12-23,5.1741
2023-12-25,mazowieckie,Radomski,1425,0.131414679,0.5628571429,15.86963664,2023-12-23,15.219
2023-12-25,mazowieckie,Siedlecki,1426,0.2457455305,0.9657142857,11.02291577,2023-12-23,8.1385
2023-12-25,mazowieckie,Sierpecki,1427,0,0.4685714286,27.69433772,2023-12-23,5.1534
2023-12-25,mazowieckie,Sochaczewski,1428,0,0.3885714286,36.21881043,2023-12-23,8.4804
2023-12-25,mazowieckie,Sokołowski,1429,0,0.7471428571,28.7368184,2023-12-23,5.3294
2023-12-25,mazowieckie,Szydłowiecki,1430,0,0.29,20.07371632,2023-12-23,3.934
2023-12-25,mazowieckie,Warszawski Zachodni,1432,0,0.68,52.39046478,2023-12-23,12.0144
2023-12-25,mazowieckie,Węgrowski,1433,0.3057636447,1.065714286,23.51933955,2023-12-23,6.541
2023-12-25,mazowieckie,Wołomiński,1434,0.1188551868,0.4457142857,39.85174796,2023-12-23,25.2408
2023-12-25,mazowieckie,Wyszkowski,1435,0,0.9614285714,32.34200243,2023-12-23,7.421
2023-12-25,mazowieckie,Zwoleński,1436,0.2787456446,0.9142857143,19.97212544,2023-12-23,3.5875
2023-12-25,mazowieckie,Żuromiński,1437,0,0.5571428571,26.50646563,2023-12-23,3.8202
2023-12-25,mazowieckie,Żyrardowski,1438,0,0.3414285714,34.35982486,2023-12-23,7.537
2023-12-25,mazowieckie,Ostrołęka,1461,0,0.6614285714,47.56272263,2023-12-23,5.1656
2023-12-25,mazowieckie,Płock,1462,0.2536611763,0.4685714286,53.6155173,2023-12-23,11.8268
2023-12-25,mazowieckie,Radom,1463,0.04777922177,0.6242857143,39.52201667,2023-12-23,20.9296
2023-12-25,mazowieckie,Siedlce,1464,0,1.277142857,40.73740892,2023-12-23,7.7813
2023-12-25,mazowieckie,Warszawa,1465,0.08917792445,0.5285714286,73.08119761,2023-12-23,179.4166
2023-12-25,opolskie,Brzeski,1601,0,0.2871428571,28.77623709,2023-12-23,8.9282
2023-12-25,opolskie,Głubczycki,1602,0,0.7885714286,33.21781628,2023-12-23,4.5015
2023-12-25,opolskie,Kędzierzyńsko-Kozielski,1603,0.1075257255,0.5357142857,32.95555962,2023-12-23,9.3001
2023-12-25,opolskie,Kluczborski,1604,0,0.06571428571,35.602682,2023-12-23,6.5026
2023-12-25,opolskie,Krapkowicki,1605,0.1582378632,0.6514285714,52.11722261,2023-12-23,6.3196
2023-12-25,opolskie,Namysłowski,1606,0,0.2,32.56940037,2023-12-23,4.2543
2023-12-25,opolskie,Nyski,1607,0.1482975442,0.8328571429,27.14438249,2023-12-23,13.4864
2023-12-25,opolskie,Oleski,1608,0,0.1785714286,27.31705023,2023-12-23,6.3788
2023-12-25,opolskie,Opolski,1609,0.08095068484,0.2757142857,23.91526082,2023-12-23,12.3532
2023-12-25,opolskie,Prudnicki,1610,0,1.01,27.67278371,2023-12-23,5.4765
2023-12-25,opolskie,Strzelecki,1611,0,0.5371428571,31.99274921,2023-12-23,7.3923
2023-12-25,opolskie,Opole,1661,0.2346701711,1.002857143,58.9405424,2023-12-23,12.7839
2023-12-25,podkarpackie,Bieszczadzki,1801,0.4653543674,0.33,20.31271813,2023-12-23,2.1489
2023-12-25,podkarpackie,Brzozowski,1802,0,0.5014285714,17.30530953,2023-12-23,6.5373
2023-12-25,podkarpackie,Dębicki,1803,0.1481580253,0.57,14.77579987,2023-12-23,13.4991
