wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
lubuskie,nowosolski,-,-,16,-,-,1.86,1,0,1,27,22,279,80,17,62,1,t0804,2021-01-29
lubuskie,słubicki,-,-,4,-,-,0.85,0,0,0,8,10,181,32,5,26,1,t0805,2021-01-29
lubuskie,strzelecko-drezdenecki,-,-,5,-,-,1.02,1,1,0,13,28,231,37,5,32,0,t0806,2021-01-29
lubuskie,sulęciński,-,-,4,-,-,1.14,0,0,0,14,4,240,63,6,57,0,t0807,2021-01-29
lubuskie,świebodziński,-,-,9,-,-,1.62,3,3,0,18,5,322,54,9,44,1,t0808,2021-01-29
lubuskie,zielonogórski,-,-,9,-,-,1.19,1,0,1,26,16,318,98,10,87,1,t0809,2021-01-29
lubuskie,żagański,-,-,6,-,-,0.76,0,0,0,14,18,237,81,6,75,0,t0810,2021-01-29
lubuskie,żarski,-,-,24,-,-,2.51,0,0,0,24,20,425,124,25,96,3,t0811,2021-01-29
lubuskie,wschowski,-,-,4,-,-,1.03,0,0,0,5,2,72,25,4,21,0,t0812,2021-01-29
lubuskie,Gorzów Wielkopolski,-,-,24,-,-,1.95,0,0,0,43,45,702,155,26,127,2,t0861,2021-01-29
lubuskie,Zielona Góra,-,-,43,-,-,3.04,0,0,0,65,34,705,221,44,171,6,t0862,2021-01-29
łódzkie,bełchatowski,-,-,16,-,-,1.42,0,0,0,25,16,333,111,21,90,0,t1001,2021-01-29
łódzkie,kutnowski,-,-,12,-,-,1.25,1,0,1,25,15,404,126,13,111,2,t1002,2021-01-29
łódzkie,łaski,-,-,6,-,-,1.2,1,0,1,12,6,134,45,6,39,0,t1003,2021-01-29
łódzkie,łęczycki,-,-,11,-,-,2.22,0,0,0,17,12,361,55,12,42,1,t1004,2021-01-29
łódzkie,łowicki,-,-,9,-,-,1.16,1,0,1,17,21,383,82,14,67,1,t1005,2021-01-29
łódzkie,łódzki wschodni,-,-,7,-,-,0.97,0,0,0,19,16,408,70,7,62,1,t1006,2021-01-29
łódzkie,opoczyński,-,-,8,-,-,1.05,0,0,0,9,1,115,68,8,58,2,t1007,2021-01-29
łódzkie,pabianicki,-,-,23,-,-,1.93,2,0,2,43,44,488,144,23,118,3,t1008,2021-01-29
