wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt
podkarpackie,leski,-,-,4,-,-,1.51,0,0,0,3,1,78,57,5,52,0,t1821
podkarpackie,Krosno,-,-,3,-,-,0.65,0,0,0,11,6,57,43,3,39,1,t1861
podkarpackie,Przemyśl,-,-,9,-,-,1.49,0,0,0,12,18,177,81,10,69,2,t1862
podkarpackie,Rzeszów,-,-,19,-,-,0.97,3,0,3,30,43,639,315,20,291,4,t1863
podkarpackie,Tarnobrzeg,-,-,6,-,-,1.29,2,0,2,9,16,125,128,13,115,0,t1864
podlaskie,augustowski,-,-,11,-,-,1.9,0,0,0,14,8,264,37,11,26,0,t2001
podlaskie,białostocki,-,-,50,-,-,3.33,0,0,0,50,86,787,301,54,246,1,t2002
podlaskie,bielski,-,-,10,-,-,1.85,0,0,0,14,20,201,67,11,56,0,t2003
podlaskie,grajewski,-,-,2,-,-,0.43,0,0,0,9,10,132,22,3,19,0,t2004
podlaskie,hajnowski,-,-,11,-,-,2.6,1,0,1,10,14,262,66,11,55,0,t2005
podlaskie,kolneński,-,-,2,-,-,0.53,2,0,2,3,0,95,52,2,50,0,t2006
podlaskie,łomżyński,-,-,7,-,-,1.38,0,0,0,4,14,207,64,8,55,1,t2007
podlaskie,moniecki,-,-,8,-,-,1.99,0,0,0,3,15,147,66,9,57,0,t2008
podlaskie,sejneński,-,-,0,-,-,0.0,0,0,0,4,8,82,11,0,11,0,t2009
podlaskie,siemiatycki,-,-,8,-,-,1.82,0,0,0,4,1,133,76,8,68,0,t2010
podlaskie,sokólski,-,-,18,-,-,2.72,1,0,1,25,53,378,152,20,132,0,t2011
podlaskie,suwalski,-,-,4,-,-,1.12,1,0,1,15,9,138,44,5,39,0,t2012
podlaskie,wysokomazowiecki,-,-,6,-,-,1.06,0,0,0,6,7,158,87,6,81,0,t2013
podlaskie,zambrowski,-,-,5,-,-,1.15,1,1,0,8,14,213,85,5,79,1,t2014
podlaskie,Białystok,-,-,98,-,-,3.29,1,0,1,125,155,1742,503,101,401,1,t2061
podlaskie,Łomża,-,-,20,-,-,3.18,0,0,0,19,30,247,107,20,86,1,t2062
podlaskie,Suwałki,-,-,16,-,-,2.29,0,0,0,18,35,313,95,16,79,0,t2063
pomorskie,bytowski,-,-,23,-,-,2.91,1,0,1,28,20,322,231,26,192,13,t2201
pomorskie,chojnicki,-,-,16,-,-,1.64,1,0,1,19,30,358,189,16,171,2,t2202
pomorskie,człuchowski,-,-,9,-,-,1.61,0,0,0,18,27,320,33,10,22,1,t2203
pomorskie,gdański,-,-,30,-,-,2.51,0,0,0,78,59,1144,219,33,178,8,t2204
pomorskie,kartuski,-,-,42,-,-,2.98,0,0,0,63,35,956,280,44,227,9,t2205
pomorskie,kościerski,-,-,9,-,-,1.24,0,0,0,19,23,351,120,10,108,2,t2206
pomorskie,kwidzyński,-,-,23,-,-,2.77,1,0,1,33,29,609,186,24,156,6,t2207
pomorskie,lęborski,-,-,13,-,-,1.97,0,0,0,15,6,258,112,16,95,1,t2208
pomorskie,malborski,-,-,22,-,-,3.47,0,0,0,28,61,572,196,22,169,5,t2209
pomorskie,nowodworski,-,-,8,-,-,2.25,1,0,1,10,11,208,57,8,48,1,t2210
pomorskie,pucki,-,-,69,-,-,7.91,0,0,0,60,70,897,280,72,207,1,t2211
pomorskie,słupski,-,-,57,-,-,5.77,0,0,0,44,41,712,515,69,436,10,t2212
pomorskie,starogardzki,-,-,42,-,-,3.27,0,0,0,40,60,756,278,43,227,8,t2213
pomorskie,tczewski,-,-,31,-,-,2.68,4,0,4,62,41,711,238,32,202,4,t2214
pomorskie,wejherowski,-,-,66,-,-,3.02,2,0,2,106,100,1465,502,69,427,6,t2215
pomorskie,sztumski,-,-,6,-,-,1.46,0,0,0,31,16,345,88,6,80,2,t2216
pomorskie,Gdańsk,-,-,117,-,-,2.48,2,0,2,225,248,4204,958,126,824,8,t2261
pomorskie,Gdynia,-,-,89,-,-,3.62,5,0,5,130,170,1845,460,93,356,11,t2262
pomorskie,Słupsk,-,-,65,-,-,7.2,0,0,0,38,53,695,634,87,534,13,t2263
pomorskie,Sopot,-,-,3,-,-,0.84,0,0,0,13,13,193,36,3,33,0,t2264
śląskie,będziński,-,-,14,-,-,0.95,0,0,0,34,46,599,220,16,199,5,t2401
